sentence,aspect_term,polarity
"i really like it, i much prefer it over the pixels software",the pixels software,Negative
"no, i completely agree with you it is a bit annoying when iphone users act like some features are completely new when all along i had it on my pixels and galaxy phones for years lol",iphone users,Negative
"it doesn't hurt that sony also has one of the best camera systems and displays on the market, not to mention top tier audio quality from their 3.5mm jack for all of my wired headphones lying around.",audio quality,Positive
"i'm not an iphone person, but i believe the 13 pro max was probably the best iphone apple has ever made.",13 pro max,Positive
imo the pixel is perfect if the battery was better.,battery,Negative
"site shows xl available, i wear l though.",site,Negative
"i don't need a fancy camera or tons of featuresi just want a phone that's stable and does what i need, and nokia does that really well.",nokia,Positive
i like how you get timely and consistent software updates and how clean the os is.,software,Neutral
"was barely more than a limited tech demo, the whole os 1.6 and 2.2 was disappointing, the hardware was underspecced and it still ate the battery super fast.",os,Negative
my only complaint here is the long wait times to get a table.,long wait times,Negative
"yes an experience, for me negative, but i'm glad yours was positive.",experience,Negative
agreed - the aldi garlic dip is really good.,aldi garlic dip,Positive
so much to play with in the developer options .,developer options,Neutral
the best sourdough in sydney as well carrot ravioli is a must try as well.,sourdough,Positive
i totally agree with you regarding motorola.,motorola,Neutral
"the calendar app is automatically linked to the maps, contacts and, google drive apps.",contacts,Neutral
"ios keyboard is horrible and had baseband issues, so i would lose service.",keyboard,Neutral
the software seems really solid as well.,software,Positive
"i used some chinese models doogee, and something else they all failed within 2 years, which is too annoying for me.",something,Negative
motorola g. i think that was the name.,the name,Neutral
he said it was an overpriced minuscule meh fried rice.,fried rice,Negative
i only had 2 motorola phones but that was in a different era of the company.,a different era,Neutral
i've now had my pixel 7 since launch and it's been solid for me for almost 3 years now.,pixel 7,Positive
thank you for sharing this is always a fun conversation.,conversation,Positive
"ultrawide was there but didn't work, phone couldn't do shit and display died in just over 1.5 yrs",phone,Negative
and they always give great deals., deals,Positive
"i think totti's is overrated, but if the head chef is dan hong the food is always going to be good",dan hong,Positive
"mobile reception was terrible, wifi calling didn't work, all in places where previous phones were fine.",mobile reception,Negative
i knew el jannah would be the top response before i opened this post.,el jannah,Positive
that whole 13 series was pretty solid from top to bottom.,that whole 13 series,Positive
vivooppo for having the best camera systems out there.,vivooppo,Positive
"iphone is just a phone that works, and has a good camera and long software support.",camera,Positive
all aspects are top notch.,all aspects,Positive
this of course resulted in really poor cooling.,cooling,Negative
the gap factory has great sales and i think the quality of gap clothing is very nice.,the gap factory,Positive
i had the worst experience at a restaurant in my life at mr wong,mr wong,Negative
"tried an iphone again, then went back to pixel 7 and it has been frustrating and problematic.",pixel 7,Negative
"i think totti's is overrated, but if the head chef is dan hong the food is always going to be good",totti's,Negative
"the verizon store didn't have a replacement model so they gave me the droid razr instead and it was ok at first but about a few months in, the battery life was horrible and the processor became super slow and laggy after a year with it.",processor,Negative
worked at the start but now statistically google reviews is the most used tool when researching places you haven't visited previously.,google reviews,Neutral
oneplus for speed and stability even several years after purchase.,speed,Positive
siri is pretty useless but very good at adding to my todo list and keeping timers.,siri,Negative
but i had a nexus 6 briefly and several oneplus devices back in the 1 through 5 days when it was very lightly skinned and liked those a well.,devices,Neutral
"i have a 10th gen ipad that i love using around the house, but that's the only extent i can tolerate ios.",ipad,Positive
but my friends say the other ones are good,the other ones,Neutral
"business class laptops are made with better materials overall, and it is much easier to find spare parts like batteries or screens if something goes bad",business class laptops,Positive
"in particular i love how apple pay just works, every time, unlike google pay which was always a bit of a hassle.",apple pay,Positive
"went to ito on the weekend having not heard any of the reviews, and it was quite nice imo, but perhaps not worth the price",price,Negative
it doesn't make sense spending money on fixing an old phone when you can get a brand new one with insurance if you choose.,old phone,Negative
